user_id,product_id,rating,timestamp
965,19,1,2023-01-01 00:00:00
500,292,1,2023-01-01 00:01:00
606,120,1,2023-01-01 00:02:00
845,247,4,2023-01-01 00:03:00
176,115,1,2023-01-01 00:04:00
374,287,1,2023-01-01 00:05:00
796,112,2,2023-01-01 00:06:00
863,192,4,2023-01-01 00:07:00
102,114,3,2023-01-01 00:08:00
694,63,1,2023-01-01 00:09:00
94,307,4,2023-01-01 00:10:00
548,410,1,2023-01-01 00:11:00
277,47,3,2023-01-01 00:12:00
905,169,5,2023-01-01 00:13:00
208,225,2,2023-01-01 00:14:00
101,26,5,2023-01-01 00:15:00
896,405,2,2023-01-01 00:16:00
215,345,2,2023-01-01 00:17:00
62,293,3,2023-01-01 00:18:00
412,55,3,2023-01-01 00:19:00
680,451,3,2023-01-01 00:20:00
286,161,5,2023-01-01 00:21:00
493,494,3,2023-01-01 00:22:00
576,78,2,2023-01-01 00:23:00
924,170,3,2023-01-01 00:24:00
354,164,5,2023-01-01 00:25:00
823,380,5,2023-01-01 00:26:00
443,151,5,2023-01-01 00:27:00
249,464,3,2023-01-01 00:28:00
939,231,1,2023-01-01 00:29:00
873,5,2,2023-01-01 00:30:00
427,484,5,2023-01-01 00:31:00
902,181,5,2023-01-01 00:32:00
970,466,5,2023-01-01 00:33:00
829,137,1,2023-01-01 00:34:00
204,149,4,2023-01-01 00:35:00
1000,83,2,2023-01-01 00:36:00
952,250,1,2023-01-01 00:37:00
1000,284,4,2023-01-01 00:38:00
457,367,4,2023-01-01 00:39:00
691,389,4,2023-01-01 00:40:00
55,91,1,2023-01-01 00:41:00
957,313,4,2023-01-01 00:42:00
408,419,2,2023-01-01 00:43:00
266,482,3,2023-01-01 00:44:00
999,229,4,2023-01-01 00:45:00
656,6,2,2023-01-01 00:46:00
593,458,2,2023-01-01 00:47:00
341,407,4,2023-01-01 00:48:00
968,482,2,2023-01-01 00:49:00
993,230,2,2023-01-01 00:50:00
742,377,4,2023-01-01 00:51:00
977,206,1,2023-01-01 00:52:00
192,452,1,2023-01-01 00:53:00
219,382,3,2023-01-01 00:54:00
18,135,1,2023-01-01 00:55:00
882,348,1,2023-01-01 00:56:00
612,451,4,2023-01-01 00:57:00
379,219,1,2023-01-01 00:58:00
742,363,2,2023-01-01 00:59:00
429,74,5,2023-01-01 01:00:00
